2004-02-11
Lü Bu
Ishida Mitsunari
Izumo no Okuni
Imagawa Yoshimoto
Maeda Toshimasu
Date Masamune
Uesugi Kenshin
Naoe Kanetsugu
Takeda Shingen
Sanada Yukimura
Oda Nobunaga
Lady Nōhime
Oichi
Mori Ranmaru
Toyotomi Hideyoshi
Akechi Mitsuhide
Takenaka Shigeharu
Kuroda Yoshitaka
Katō Kiyomasa
Fukushima Masanori
Honda Tadakatsu
Tokugawa Ieyasu
Hattori Hanzō
Suzuki Magoichi
Hōjō Ujinao
Oniniwa Tsunamoto
Hasekura Tsunenaga
Harada Munetoki
Rusu Masakage
Gotō Nobuyasu
Uesugi Kagenobu
Jōjō Masashige
Tsuchiya Masatsugu
Nishina Morinobu
Hara Nagayori
Konishi Yukinaga
Hirano Nagayasu
Nakamura Kazuuji
Shinjō Naoyori
Matsudaira Tadanao
Sakazaki Naomori
Honda Tadamasa
Matsudaira Tadateru
Tōdō Takatora
Tokugawa Hidetada
Ii Naotaka
Maeda Toshitsune
Saitō Dōsan
Shōe (Samurai Warriors)
Hattori Tomosada
Kōsa Honganji Kennyo
Toyotomi Hideyori
Ōno Harunaga
Gotō Mototsugu
Chōsokabe Morichika
Kimura Shigenari
Susukida Kanesuke
Mōri Katsunaga
Ban Naoyuki
Akashi Takenori
Ishikawa Goemon
Matsui Munenobu
Asahina Yasutomo
Ii Naomori
Okabe Motonobu
Udono Nagateru
Katsurayama Ujimoto
Matsuda Norihide
Hōjō Ujinori
Hōjō Ujikuni
Hōjō Ujimasa
Hōjō Ujiteru
Hōjō Tsunashige
Katakura Kagetsuna
Date Shigezane
Matsukaze
Usami Sadamitsu
Kakizaki Kageie
Murakami Yoshikiyo
Kitajō Takahiro
Irobe Katsunaga
Kojima Yatarō
Naoe Kagetsuna
Amakasu Kagetsugu
Saitō Tomonobu
Uesugi Kagekatsu
Honjō Shigenaga
Yamamoto Kansuke
Kōsaka Masanobu
Takeda Nobushige
Naitō Masatoyo
Hara Masatane
Takeda Yoshinobu
Baba Nobuharu
Yamagata Masakage
Anayama Nobutada
Oyamada Nobushige
Takeda Nobukado
Takeda Katsuyori
Suzuki Shigenori
Sanada Nobuyuki
Yazawa Yoritsuna
Sanada Masayuki
Yazawa Yorisada
Tomizawa Iyonokami
Kaneko Yasukiyo
Karasawa Genba
Shibata Katsuie
Sakuma Nobumori
Kawajiri Hidetaka
Mori Yoshinari
Maeda Toshiie
Sassa Narimasa
Hirate Hirohide
Takigawa Kazumasu
Niwa Nagahide
Ikeda Tsuneoki
Hachisuka Masakatsu
Araki Murashige
Hori Hidemasa
Nakagawa Kiyohide
Hachiya Yoritaka
Dom Justo Takayama Shigetomo
Oda Nobutada
Nakagawa Shigemasa
Kanamori Nagachika
Kuki Yoshitaka
Gamō Ujisato
Katagiri Katsumoto
Kuroda Nagamasa
Wakisaka Yasuharu
Katō Yoshiaki
Kasuya Takenori
Sakai Tadatsugu
Torii Mototada
Sakakibara Yasumasa
Ii Naomasa
Ōkubo Tadayo
Ishikawa Kazumasa
Okudaira Nobumasa
Honda Masanobu
Saitō Toshimitsu
Akechi Shigetomo
Matsuda Masachika
Tsuda Nobuharu
Akechi Hidemitsu
Tsutsui Junkei
Ido Yoshihiro
Hosokawa Fujitaka
Hosokawa Tadaoki
Saitō Yoshitatsu
Saitō Tatsuoki
Andō Morinari
Ujiie Naotomo
Inaba Yoshimichi
Hineno Hironari
Nagai Michitoshi
Toki Yorimoto
Shichiri Yorichika
Shimotsuma Chūkō
Shimotsuma Rairyū
Shimotsuma Rairen
Tsuchibashi Morishige
Oka Yoshimasa
Suzuki Shigetomo
Horiuchi Ujiyoshi
Azai Nagamasa
Asakura Yoshikage
Maeba Yoshitsugu
Akao Kiyotsuna
Azai Masazumi
Endō Naotsune
Asakura Kagetoshi
Asakura Kagetake
Kaihō Tsunachika
Miyabe Keijun
Isono Kazumasa
Atsuji Sadayuki
